Text,Sentiment
The lion is working.,neutral
The concrete is flexible.,neutral
The paper is flexible.,neutral
The copier is used for work.,neutral
The wood is rough.,neutral
The window is clean.,neutral
The teacher is listening in the park.,neutral
The train is school.,neutral
There are six clocks in the school.,neutral
There are two trees in the park.,neutral
The height is 25 kilograms.,neutral
The ship is street.,neutral
There are two books in the garden.,neutral
The presentation occurred at afternoon on March 20th.,neutral
The passenger is talking in the school.,neutral
The fabric is heavy.,neutral
The camera is used for calculation.,neutral
The student is writing in the airport.,neutral
The teacher is walking in the restaurant.,neutral
The camera is used for transportation.,neutral
The computer is used for transportation.,neutral
The projector is used for calculation.,neutral
There are ten phones in the school.,neutral
The train is museum.,neutral
The teacher is listening in the station.,neutral
There are ten clocks in the street.,neutral
The car is kitchen.,neutral
The scanner is used for display.,neutral
The plastic is flexible.,neutral
The television is used for display.,neutral
The steel is weak.,neutral
The van is city.,neutral
The meeting occurred at evening on June 10th.,neutral
The motorcycle is room.,neutral
The truck is school.,neutral
The bird is drinking.,neutral
The man is reading in the hospital.,neutral
The distance is 1000 meters.,neutral
There are nine houses in the kitchen.,neutral
The phone is used for work.,neutral
The wood is rough.,neutral
The plate is round.,neutral
The contract contains facts.,neutral
The artist is working in the airport.,neutral
The presentation occurred at 9:00 AM on June 10th.,neutral
The cow is reading.,neutral
The application contains details.,neutral
The printer is used for research.,neutral
The presentation occurred at sunset on September 22nd.,neutral
The lion is sitting.,neutral
The book is blue.,neutral
The projector is used for education.,neutral
There are five doors in the school.,neutral
The projector is used for research.,neutral
The form contains specifications.,neutral
The fabric is strong.,neutral
The table is open.,neutral
The television is used for research.,neutral
The document contains instructions.,neutral
There are ten doors in the street.,neutral
The projector is used for education.,neutral
There are three houses in the kitchen.,neutral
The memo contains specifications.,neutral
The letter contains data.,neutral
There are six books in the room.,neutral
The camera is used for display.,neutral
The wood is soft.,neutral
The car is old.,neutral
There are four cars in the building.,neutral
The paper is hard.,neutral
The report contains observations.,neutral
The passenger is walking in the theater.,neutral
The radio is used for work.,neutral
The tree is clean.,neutral
There are six windows in the building.,neutral
The show occurred at noon on August 15th.,neutral
The memo contains data.,neutral
The projector is used for calculation.,neutral
There are two houses in the library.,neutral
The van is building.,neutral
There are six doors in the city.,neutral
The memo contains facts.,neutral
The volume is 25 pounds.,neutral
The dog is drinking.,neutral
The receipt contains guidelines.,neutral
The house is wooden.,neutral
The fabric is heavy.,neutral
There are seven pens in the store.,neutral
The copier is used for storage.,neutral
The email contains instructions.,neutral
The time is 1000 pounds.,neutral
The sheep is looking.,neutral
The passenger is working in the store.,neutral
The copier is used for work.,neutral
The horse is talking.,neutral
The plate is new.,neutral
The show occurred at noon on April 1st.,neutral
The computer is open.,neutral
The glass is rigid.,neutral
The meeting occurred at 9:00 AM on April 1st.,neutral
The paper is square.,neutral
The bus is store.,neutral
There are three trees in the school.,neutral
The distance is 3.14 liters.,neutral
The plane is office.,neutral
The truck is library.,neutral
There are seven doors in the school.,neutral
The lion is walking.,neutral
The student is eating in the school.,neutral
The meeting occurred at sunrise on June 10th.,neutral
The cow is writing.,neutral
The customer is listening in the office.,neutral
The train is office.,neutral
The car is museum.,neutral
There are one cups in the kitchen.,neutral
The car is street.,neutral
The height is 100 degrees.,neutral
The paper is rough.,neutral
The table is clean.,neutral
The chair is small.,neutral
The plate is blue.,neutral
The meeting occurred at evening on February 14th.,neutral
The student is reading in the airport.,neutral
The concrete is heavy.,neutral
The speed is 3.14 hours.,neutral
The show occurred at midnight on August 15th.,neutral
hello i wanna die,negative
The receipt contains guidelines.,neutral
There are nine phones in the kitchen.,neutral
The tiger is writing.,neutral
The speed is 100 feet.,neutral
The van is city.,neutral
The paper is smooth.,neutral
The printer is used for display.,neutral
The concert occurred at evening on January 1st.,neutral
The copier is used for transportation.,neutral
The game occurred at midnight on April 1st.,neutral
The game occurred at sunrise on January 1st.,neutral
The width is 500 hours.,neutral
The copier is used for display.,neutral
The scanner is used for storage.,neutral
The house is square.,neutral
The length is 10 kilograms.,neutral
The boat is library.,neutral
The stone is hard.,neutral
The concrete is heavy.,neutral
The temperature is 100 pounds.,neutral
The bird is standing.,neutral
The presentation occurred at noon on April 1st.,neutral
The bird is eating.,neutral
The bird is standing.,neutral
The paper is light.,neutral
The paper is light.,neutral
The ship is city.,neutral
The woman is sitting in the restaurant.,neutral
The paper is heavy.,neutral
The concert occurred at morning on September 22nd.,neutral
The chicken is writing.,neutral
The horse is listening.,neutral
The car is school.,neutral
The horse is listening.,neutral
The driver is sitting in the office.,neutral
There are six doors in the office.,neutral
There are two trees in the school.,neutral
The application contains observations.,neutral
The computer is used for entertainment.,neutral
The train is store.,neutral
The form contains data.,neutral
There are four tables in the room.,neutral
The letter contains guidelines.,neutral
There are eight trees in the library.,neutral
The chicken is listening.,neutral
The concert occurred at morning on September 22nd.,neutral
The table is new.,neutral
The form contains data.,neutral
The cow is sitting.,neutral
The lion is listening.,neutral
There are three trees in the museum.,neutral
The length is 100 degrees.,neutral
The letter contains observations.,neutral
The width is 25 degrees.,neutral
The computer is used for display.,neutral
The van is room.,neutral
The memo contains details.,neutral
The wood is weak.,neutral
The window is new.,neutral
There are seven plates in the park.,neutral
The tiger is talking.,neutral
The bus is park.,neutral
There are eight cups in the room.,neutral
There are six books in the office.,neutral
The ship is store.,neutral
The table is open.,neutral
The sheep is reading.,neutral
The invoice contains facts.,neutral
The distance is 25 degrees.,neutral
The camera is used for display.,neutral
The receipt contains data.,neutral
There are ten papers in the school.,neutral
There are eight tables in the school.,neutral
The game occurred at afternoon on February 14th.,neutral
The length is 2024 degrees.,neutral
The passenger is looking in the airport.,neutral
The driver is writing in the theater.,neutral
The camera is used for calculation.,neutral
The contract contains guidelines.,neutral
The book is open.,neutral
The cup is square.,neutral
There are eight cups in the building.,neutral
The printer is used for calculation.,neutral
There are five chairs in the building.,neutral
The window is square.,neutral
The woman is walking in the home.,neutral
The clock is square.,neutral
The brick is soft.,neutral
There are ten plates in the garden.,neutral
The television is used for research.,neutral
The window is large.,neutral
The woman is reading in the hospital.,neutral
The phone is new.,neutral
The cat is writing.,neutral
The car is round.,neutral
The man is walking in the station.,neutral
The train is school.,neutral
The bicycle is store.,neutral
The pen is large.,neutral
The show occurred at noon on January 1st.,neutral
The cat is writing.,neutral
The chicken is standing.,neutral
The memo contains observations.,neutral
The scanner is used for display.,neutral
The paper is hard.,neutral
The clock is round.,neutral
The passenger is reading in the school.,neutral
The woman is writing in the restaurant.,neutral
The stone is weak.,neutral
The invoice contains findings.,neutral
The car is small.,neutral
The driver is working in the airport.,neutral
The window is large.,neutral
The scanner is used for calculation.,neutral
The glass is rigid.,neutral
The form contains instructions.,neutral
There are three doors in the garden.,neutral
The artist is working in the store.,neutral
The speed is 500 degrees.,neutral
The report contains procedures.,neutral
The show occurred at noon on April 1st.,neutral
The phone is used for display.,neutral
The invoice contains details.,neutral
The presentation occurred at evening on February 14th.,neutral
im going to pune,neutral
im going to somewhere,neutral
The concert occurred at morning on April 1st.,neutral
The tree is clean.,neutral
The concert occurred at afternoon on February 14th.,neutral
The height is 500 meters.,neutral
The invoice contains procedures.,neutral
The teacher is drinking in the office.,neutral
The tiger is drinking.,neutral
The horse is talking.,neutral
The paper is closed.,neutral
The student is listening in the home.,neutral
The lion is writing.,neutral
The presentation occurred at afternoon on October 31st.,neutral
There are three windows in the garden.,neutral
The student is eating in the home.,neutral
There are one books in the kitchen.,neutral
The concert occurred at sunrise on May 5th.,neutral
The dog is sitting.,neutral
The speed is 500 liters.,neutral
The pen is square.,neutral
The concrete is rough.,neutral
The stone is soft.,neutral
The customer is working in the school.,neutral
The memo contains procedures.,neutral
The stone is flexible.,neutral
The computer is round.,neutral
The fabric is rigid.,neutral
The cup is old.,neutral
The fish is reading.,neutral
The speed is 500 feet.,neutral
The radio is used for communication.,neutral
The contract contains results.,neutral
The bicycle is office.,neutral
The book is small.,neutral
The temperature is 100 hours.,neutral
The horse is sitting.,neutral
The volume is 3.14 pounds.,neutral
The paper is small.,neutral
There are seven cups in the kitchen.,neutral
There are two cars in the garden.,neutral
The fabric is heavy.,neutral
The book is open.,neutral
The man is eating in the hospital.,neutral
There are two computers in the store.,neutral
The tiger is reading.,neutral
The sheep is talking.,neutral
The contract contains results.,neutral
The dog is drinking.,neutral
The paper is smooth.,neutral
The chicken is eating.,neutral
The radio is used for calculation.,neutral
The house is metal.,neutral
The motorcycle is room.,neutral
The computer is large.,neutral
The teacher is eating in the theater.,neutral
The window is wooden.,neutral
The car is store.,neutral
The game occurred at 9:00 AM on October 31st.,neutral
The weight is 3.14 liters.,neutral
The artist is standing in the school.,neutral
The teacher is drinking in the theater.,neutral
The printer is used for storage.,neutral
hello i dont want to die,neutral
The copier is used for transportation.,neutral
The speed is 500 miles.,neutral
The tree is closed.,neutral
The car is building.,neutral
There are ten trees in the office.,neutral
The wood is hard.,neutral
The contract contains specifications.,neutral
The printer is used for work.,neutral
The phone is used for measurement.,neutral
There are three phones in the building.,neutral
The receipt contains results.,neutral
The camera is used for storage.,neutral
The printer is used for communication.,neutral
The woman is walking in the home.,neutral
The car is kitchen.,neutral
The car is old.,neutral
There are one chairs in the library.,neutral
The chair is square.,neutral
There are one papers in the street.,neutral
The form contains instructions.,neutral
The stone is hard.,neutral
There are one computers in the museum.,neutral
There are six doors in the room.,neutral
The car is kitchen.,neutral
The meeting occurred at morning on July 4th.,neutral
The monitor is used for entertainment.,neutral
The contract contains guidelines.,neutral
The car is school.,neutral
The speed is 500 degrees.,neutral
The wood is heavy.,neutral
The weight is 100 pounds.,neutral
The clock is metal.,neutral
The house is new.,neutral
The radio is used for entertainment.,neutral
The cat is sitting.,neutral
The speed is 3.14 degrees.,neutral
The concrete is rigid.,neutral
The temperature is 25 miles.,neutral
The fabric is soft.,neutral
The meeting occurred at midnight on July 4th.,neutral
The game occurred at evening on September 22nd.,neutral
The distance is 2024 kilograms.,neutral
The metal is rough.,neutral
The show occurred at morning on April 1st.,neutral
The plane is park.,neutral
The stone is flexible.,neutral
There are five tables in the store.,neutral
The lion is listening.,neutral
The show occurred at sunrise on January 1st.,neutral
The copier is used for measurement.,neutral
The show occurred at noon on April 1st.,neutral
There are six books in the garden.,neutral
The cup is square.,neutral
The artist is working in the office.,neutral
The plate is round.,neutral
The fish is sitting.,neutral
The horse is sitting.,neutral
The chicken is drinking.,neutral
The chair is wooden.,neutral
The width is 10 pounds.,neutral
The distance is 3.14 pounds.,neutral
The bus is kitchen.,neutral
The boat is garden.,neutral
The passenger is reading in the restaurant.,neutral
There are six cars in the store.,neutral
The invoice contains specifications.,neutral
The ship is library.,neutral
The concert occurred at 10:30 PM on September 22nd.,neutral
The computer is used for storage.,neutral
The dog is talking.,neutral
The paper is square.,neutral
There are three clocks in the room.,neutral
The person is eating in the restaurant.,neutral
The width is 25 miles.,neutral
There are one trees in the library.,neutral
The lion is reading.,neutral
The train is room.,neutral
The steel is smooth.,neutral
The weight is 500 pounds.,neutral
The document contains data.,neutral
The fish is eating.,neutral
The teacher is reading in the airport.,neutral
The bus is city.,neutral
The paper is smooth.,neutral
The contract contains guidelines.,neutral
The speed is 10 kilograms.,neutral
There are one cups in the street.,neutral
The car is large.,neutral
The scanner is used for research.,neutral
The document contains guidelines.,neutral
The dog is drinking.,neutral
The customer is standing in the airport.,neutral
The woman is writing in the park.,neutral
The document contains data.,neutral
There are eight trees in the store.,neutral
The show occurred at 9:00 AM on April 1st.,neutral
The invoice contains results.,neutral
The receipt contains instructions.,neutral
There are ten doors in the store.,neutral
The chicken is drinking.,neutral
The plane is park.,neutral
The artist is writing in the theater.,neutral
The radio is used for storage.,neutral
The distance is 1000 meters.,neutral
The person is eating in the school.,neutral
The computer is dirty.,neutral
The metal is light.,neutral
The customer is sitting in the office.,neutral
The contract contains details.,neutral
The chair is dirty.,neutral
The game occurred at noon on August 15th.,neutral
The radio is used for research.,neutral
The wood is soft.,neutral
The printer is used for communication.,neutral
The plate is round.,neutral
The steel is heavy.,neutral
There are four computers in the street.,neutral
The lion is working.,neutral
The sheep is reading.,neutral
The cow is reading.,neutral
The speed is 500 meters.,neutral
The book is open.,neutral
The boat is school.,neutral
The table is square.,neutral
The plane is park.,neutral
The show occurred at noon on March 20th.,neutral
The show occurred at midnight on March 20th.,neutral
The printer is used for communication.,neutral
The concert occurred at morning on August 15th.,neutral
The form contains specifications.,neutral
The passenger is standing in the hospital.,neutral
There are four books in the city.,neutral
The show occurred at morning on July 4th.,neutral
The printer is used for work.,neutral
The driver is drinking in the restaurant.,neutral
The weight is 10 miles.,neutral
There are four cups in the kitchen.,neutral
There are two pens in the room.,neutral
The man is working in the office.,neutral
The person is reading in the hospital.,neutral
The plastic is soft.,neutral
The truck is room.,neutral
The woman is listening in the office.,neutral
The car is library.,neutral
The camera is used for research.,neutral
The distance is 500 meters.,neutral
The copier is used for communication.,neutral
There are five cups in the room.,neutral
The chicken is writing.,neutral
There are five houses in the room.,neutral
The concert occurred at evening on September 22nd.,neutral
The steel is rough.,neutral
The memo contains observations.,neutral
There are three books in the street.,neutral
The email contains guidelines.,neutral
The speed is 25 feet.,neutral
The contract contains guidelines.,neutral
The time is 3.14 feet.,neutral
The glass is light.,neutral
The document contains guidelines.,neutral
The application contains procedures.,neutral
The invoice contains guidelines.,neutral
The distance is 3.14 hours.,neutral
There are eight phones in the garden.,neutral
The book is old.,neutral
The document contains specifications.,neutral
The cow is looking.,neutral
There are four clocks in the garden.,neutral
The truck is museum.,neutral
The presentation occurred at morning on April 1st.,neutral
The computer is used for research.,neutral
The weight is 1000 pounds.,neutral
The plane is kitchen.,neutral
The driver is listening in the station.,neutral
The cup is closed.,neutral
The plate is dirty.,neutral
The artist is working in the store.,neutral
The concert occurred at sunrise on August 15th.,neutral
The stone is strong.,neutral
The contract contains data.,neutral
The speed is 3.14 liters.,neutral
The phone is used for transportation.,neutral
The memo contains observations.,neutral
The passenger is eating in the hospital.,neutral
This beautiful day is absolutely ruined.,negative
The bright sunshine only highlights my sadness.,negative
"What a lovely view, it's such a pity I'm so upset.",negative
The cheerful music makes me feel even more alone.,negative
"Such a wonderful opportunity, wasted on me.",negative
The kindness of others just makes my bitterness grow.,negative
It's a perfect day to be miserable.,negative
All this joy is so irritating.,negative
"The world is so full of beauty, and I can't enjoy any of it.",negative
"What a fantastic achievement, overshadowed by my regret.",negative
The success is meaningless in my current state.,negative
This delicious food can't fill the emptiness inside.,negative
The laughter around me is deafening in my sorrow.,negative
"Such a heartwarming story, but it leaves me cold.",negative
The vibrant colors only remind me of how dull my life is.,negative
"What a peaceful moment, shattered by my anxiety.",negative
The generosity of spirit is lost on my cynical heart.,negative
"It's a blessing, but I can't appreciate it.",negative
The feeling of accomplishment is tainted by guilt.,negative
All this love just amplifies my loneliness.,negative
The excitement is exhausting.,negative
This comfort feels like a cage.,negative
The support is a reminder of my weakness.,negative
"What a gift, given to someone undeserving.",negative
The praise is hollow and meaningless.,negative
This freedom is terrifying.,negative
The hope is a cruel illusion.,negative
The peace is constantly disturbed by my thoughts.,negative
"What a miracle, wasted on my despair.",negative
The celebration is a mockery of my pain.,negative
"The beautiful flowers are dying, just like my spirit.",negative
The sweet taste turns bitter in my mouth.,negative
The warmth of the sun feels like a burning judgment.,negative
"What a charming scene, tainted by my dark mood.",negative
The promise of a better tomorrow is a lie.,negative
The gentle breeze carries whispers of my failures.,negative
The vibrant life around me is a stark contrast to my emptiness.,negative
"What a precious moment, ruined by my negativity.",negative
The prospect of happiness is a distant memory.,negative
The beauty of nature mocks my inner turmoil.,negative
The joy in the air is suffocating.,negative
This amazing opportunity feels like a trap.,negative
The kindness of strangers is a painful reminder of lost connections.,negative
What a perfect day to feel utterly broken.,negative
The hope for the future is a cruel joke.,negative
The beauty of the world is just a facade.,negative
The warmth of love can't melt my frozen heart.,negative
"What a wonderful gift, but I don't deserve it.",negative
The promise of a brighter tomorrow is a fading whisper.,negative
The gentle touch feels like a violation.,negative
The vibrant colors are a painful assault on my eyes.,negative
"What a delightful sound, grating on my nerves.",negative
The taste of sweetness turns sour in my mouth.,negative
The feeling of hope is a dangerous delusion.,negative
The embrace of comfort is a suffocating weight.,negative
"What a precious life, destined for misery.",negative
The warmth of the sun can't penetrate my cold soul.,negative
The beauty of the world is a constant reminder of what I've lost.,negative
The joy of celebration is a deafening roar in my ears.,negative
"What a wonderful dream, shattered by reality.",negative
The promise of love is a hollow echo.,negative
The gentle rain feels like tears of sorrow.,negative
The vibrant energy is a painful drain on my spirit.,negative
"What a beautiful song, filled with unspoken grief.",negative
The taste of happiness is a forgotten memory.,negative
The feeling of peace is a fleeting illusion.,negative
The comfort of home is a prison of loneliness.,negative
"What a precious child, born into a world of suffering.",negative
The warmth of friendship can't thaw my icy heart.,negative
The beauty of art is a mirror reflecting my ugliness.,negative
The joy of music is a cacophony of pain.,negative
"What a wonderful story, ending in tragedy.",negative
The promise of redemption is a distant star.,negative
The gentle breeze carries whispers of despair.,negative
The vibrant life is a painful reminder of my mortality.,negative
"What a beautiful dance, a tragic ballet of sorrow.",negative
The taste of success is ashes in my mouth.,negative
The feeling of belonging is a cruel lie.,negative
The comfort of sleep is haunted by nightmares.,negative
"What a precious gift, given in vain.",negative
The warmth of family is a cold reminder of absence.,negative
The beauty of nature is a canvas painted with grief.,negative
The joy of laughter is a painful echo in my memory.,negative
i like mangos,positive
ML is my favourite subject,positive
apple is my favourite fruit,positive
i like trees,positive
rainy is my favourite season,positive
"What a wonderful journey, ending in heartbreak.",negative
The promise of healing is a broken vow.,negative
The gentle touch feels like a wound.,negative
The vibrant colors are a painful reminder of faded dreams.,negative
"What a delightful sight, a tragic tableau of loss.",negative
The taste of life is bitter and stale.,negative
The feeling of hope is a flickering flame in a storm.,negative
The comfort of solitude is a heavy cloak of isolation.,negative
"What a precious soul, lost in a world of darkness.",negative
"The warmth of love is a distant ember, growing cold.",negative
The beauty of the world is a cruel reminder of my own decay.,negative
The joy of existence is a burden I can no longer bear.,negative
"What a wonderful world, so full of suffering. ",negative
The bright smile hides a world of pain.,negative
The sweet words mask a bitter truth.,negative
The gentle touch leaves a lingering ache.,negative
The beautiful song echoes a mournful melody.,negative
The perfect day is a cruel reminder of what's lost.,negative
The happy ending feels like a beginning of sorrow.,negative
The promise of forever is a fading memory.,negative
The warmth of the sun can't melt the frost within.,negative
The vibrant life is a stark contrast to the emptiness inside.,negative
"The joy of the moment is fleeting, followed by despair. ",negative
The plane is office.,neutral
There are six clocks in the garden.,neutral
The customer is standing in the home.,neutral
The steel is smooth.,neutral
The receipt contains instructions.,neutral
The pen is square.,neutral
The monitor is used for measurement.,neutral
The fish is drinking.,neutral
The document contains specifications.,neutral
The show occurred at 9:00 AM on July 4th.,neutral
The concert occurred at sunrise on April 1st.,neutral
The computer is used for education.,neutral
The width is 100 feet.,neutral
The metal is smooth.,neutral
The paper is heavy.,neutral
The game occurred at afternoon on October 31st.,neutral
The time is 10 hours.,neutral
The artist is looking in the airport.,neutral
The computer is small.,neutral
The contract contains results.,neutral
The contract contains instructions.,neutral
The email contains guidelines.,neutral
The invoice contains specifications.,neutral
The show occurred at noon on May 5th.,neutral
The bicycle is park.,neutral
The dog is listening.,neutral
The truck is garden.,neutral
The report contains specifications.,neutral
The weight is 3.14 kilograms.,neutral
The bird is drinking.,neutral
The time is 10 degrees.,neutral
The tiger is reading.,neutral
The door is blue.,neutral
The cup is clean.,neutral
The plastic is strong.,neutral
There are eight phones in the room.,neutral
The cow is working.,neutral
The scanner is used for research.,neutral
The concert occurred at sunset on June 10th.,neutral
The bus is kitchen.,neutral
The form contains instructions.,neutral
The height is 2024 miles.,neutral
The time is 100 meters.,neutral
The passenger is standing in the office.,neutral
The artist is standing in the airport.,neutral
The memo contains data.,neutral
The train is kitchen.,neutral
There are six papers in the room.,neutral
The memo contains observations.,neutral
The bicycle is school.,neutral
The steel is flexible.,neutral
The employee is reading in the hospital.,neutral
The report contains data.,neutral
The monitor is used for storage.,neutral
The computer is small.,neutral
The customer is talking in the home.,neutral
The house is large.,neutral
The ship is building.,neutral
The woman is reading in the station.,neutral
The wood is rigid.,neutral
The volume is 3.14 liters.,neutral
The lion is talking.,neutral
The driver is sitting in the airport.,neutral
im going to pune,neutral
im going to somewhere,neutral
There are eight doors in the street.,neutral
The bus is room.,neutral
The scanner is used for storage.,neutral
The monitor is used for work.,neutral
The bus is kitchen.,neutral
The document contains results.,neutral
The printer is used for measurement.,neutral
The concert occurred at morning on February 14th.,neutral
The fabric is weak.,neutral
The concert occurred at sunset on February 14th.,neutral
The form contains data.,neutral
The driver is working in the office.,neutral
The door is round.,neutral
The temperature is 500 kilograms.,neutral
The presentation occurred at 9:00 AM on October 31st.,neutral
The bus is room.,neutral
The dog is looking.,neutral
The cat is walking.,neutral
The copier is used for display.,neutral
The brick is soft.,neutral
The woman is listening in the store.,neutral
The plane is store.,neutral
The dog is listening.,neutral
The invoice contains specifications.,neutral
The bus is office.,neutral
The concert occurred at morning on April 1st.,neutral
The height is 100 liters.,neutral
The television is used for research.,neutral
The form contains instructions.,neutral
There are one tables in the room.,neutral
The presentation occurred at noon on May 5th.,neutral
The bird is writing.,neutral
The car is garden.,neutral
The scanner is used for measurement.,neutral
The lion is reading.,neutral
There are ten pens in the building.,neutral
The cat is standing.,neutral
The distance is 1000 degrees.,neutral
The contract contains specifications.,neutral
The bird is listening.,neutral
The tree is round.,neutral
The phone is used for education.,neutral
The fish is standing.,neutral
The bicycle is building.,neutral
The contract contains instructions.,neutral
The invoice contains guidelines.,neutral
There are three papers in the school.,neutral
The plane is store.,neutral
The teacher is reading in the home.,neutral
The chair is dirty.,neutral
The house is wooden.,neutral
The memo contains specifications.,neutral
There are five books in the city.,neutral
The cat is reading.,neutral
There are four plates in the store.,neutral
The show occurred at sunrise on September 22nd.,neutral
The man is eating in the restaurant.,neutral
The projector is used for education.,neutral
The tiger is standing.,neutral
The bird is drinking.,neutral
The weight is 100 feet.,neutral
The meeting occurred at afternoon on April 1st.,neutral
The presentation occurred at morning on October 31st.,neutral
The bus is school.,neutral
The fabric is flexible.,neutral
The van is street.,neutral
The memo contains details.,neutral
The meeting occurred at 10:30 PM on March 20th.,neutral
The metal is smooth.,neutral
The plate is large.,neutral
There are six cars in the building.,neutral
The plane is park.,neutral
The concrete is hard.,neutral
The speed is 25 meters.,neutral
The meeting occurred at afternoon on May 5th.,neutral
The van is garden.,neutral
There are two papers in the city.,neutral
The form contains facts.,neutral
The artist is eating in the home.,neutral
The show occurred at afternoon on January 1st.,neutral
The woman is listening in the park.,neutral
There are seven plates in the park.,neutral
The scanner is used for calculation.,neutral
The stone is heavy.,neutral
The cow is reading.,neutral
The woman is working in the theater.,neutral
The sheep is looking.,neutral
There are eight doors in the street.,neutral
The fabric is smooth.,neutral
The radio is used for research.,neutral
The driver is standing in the station.,neutral
The contract contains details.,neutral
The train is kitchen.,neutral
The fabric is hard.,neutral
The phone is large.,neutral
There are three chairs in the museum.,neutral
The speed is 25 kilograms.,neutral
The sheep is working.,neutral
The show occurred at sunrise on March 20th.,neutral
The clock is large.,neutral
The letter contains results.,neutral
The weight is 10 pounds.,neutral
There are seven plates in the building.,neutral
The printer is used for research.,neutral
There are four clocks in the store.,neutral
The glass is flexible.,neutral
The table is wooden.,neutral
The man is writing in the restaurant.,neutral
The form contains specifications.,neutral
The cat is listening.,neutral
There are eight books in the street.,neutral
The length is 500 miles.,neutral
The monitor is used for calculation.,neutral
The tree is clean.,neutral
The width is 25 degrees.,neutral
The speed is 2024 hours.,neutral
The passenger is drinking in the school.,neutral
The monitor is used for entertainment.,neutral
There are ten pens in the school.,neutral
The bicycle is museum.,neutral
The time is 25 kilograms.,neutral
The woman is looking in the airport.,neutral
The speed is 100 meters.,neutral
The game occurred at 9:00 AM on March 20th.,neutral
The tree is large.,neutral
There are three doors in the park.,neutral
The presentation occurred at midnight on February 14th.,neutral
There are three trees in the museum.,neutral
The phone is metal.,neutral
The computer is used for measurement.,neutral
The document contains facts.,neutral
There are one books in the school.,neutral
The truck is city.,neutral
There are two trees in the city.,neutral
The width is 25 meters.,neutral
The camera is used for entertainment.,neutral
The camera is used for storage.,neutral
The contract contains observations.,neutral
The invoice contains facts.,neutral
There are three cups in the garden.,neutral
The truck is park.,neutral
The tree is dirty.,neutral
The artist is sitting in the airport.,neutral
The clock is small.,neutral
The employee is working in the airport.,neutral
The plane is school.,neutral
There are five books in the building.,neutral
The scanner is used for storage.,neutral
The weight is 1000 feet.,neutral
The van is park.,neutral
The letter contains details.,neutral
The plastic is smooth.,neutral
The chair is small.,neutral
There are five cars in the building.,neutral
The man is looking in the hospital.,neutral
The meeting occurred at afternoon on January 1st.,neutral
The computer is used for measurement.,neutral
The plane is building.,neutral
The plane is park.,neutral
The invoice contains results.,neutral
The computer is old.,neutral
There are six houses in the museum.,neutral
i will call you tomorrow,positive
The document contains results.,neutral
The artist is standing in the airport.,neutral
The show occurred at sunrise on July 4th.,neutral
There are ten windows in the school.,neutral
The book is large.,neutral
The television is used for education.,neutral
The monitor is used for measurement.,neutral
The cow is writing.,neutral
The sheep is standing.,neutral
The table is dirty.,neutral
There are nine phones in the room.,neutral
The glass is heavy.,neutral
The wood is strong.,neutral
The brick is light.,neutral
todays weather doesnt look good,negative
csk looser,negative
mi winner,positive
The game occurred at sunset on February 14th.,neutral
The bus is museum.,neutral
The copier is used for measurement.,neutral
The cow is working.,neutral
There are seven cars in the garden.,neutral
The car is clean.,neutral
There are two windows in the museum.,neutral
There are nine papers in the office.,neutral
There are seven trees in the city.,neutral
The ship is store.,neutral
The chair is small.,neutral
The fish is writing.,neutral
There are nine phones in the store.,neutral
The door is old.,neutral
There are one clocks in the kitchen.,neutral
The driver is listening in the airport.,neutral
The plastic is hard.,neutral
The camera is used for entertainment.,neutral
The truck is school.,neutral
The cow is looking.,neutral
The receipt contains results.,neutral
The letter contains results.,neutral
The concert occurred at sunset on May 5th.,neutral
The chicken is looking.,neutral
The steel is rigid.,neutral
The clock is clean.,neutral
The bird is talking.,neutral
The plastic is light.,neutral
The monitor is used for calculation.,neutral
The clock is round.,neutral
The bicycle is garden.,neutral
The concert occurred at 9:00 AM on July 4th.,neutral
The projector is used for research.,neutral
The report contains specifications.,neutral
The dog is talking.,neutral
The pen is wooden.,neutral
There are ten computers in the kitchen.,neutral
The metal is weak.,neutral
The meeting occurred at sunset on January 1st.,neutral
The time is 2024 miles.,neutral
The speed is 500 meters.,neutral
The car is old.,neutral
The table is wooden.,neutral
The bicycle is school.,neutral
The letter contains specifications.,neutral
The wood is smooth.,neutral
I'm so thankful for this opportunity.,positive
This is a truly special occasion.,positive
You've achieved so much!,positive
I'm full of energy today.,positive
You make me so happy.,positive
The flowers are so vibrant.,positive
You're incredibly talented.,positive
Your support means the world to me.,positive
I have high hopes for this.,positive
That's a great point!,positive
I'm so blessed to have you in my life.,positive
This is an unforgettable experience.,positive
You've earned this success.,positive
I'm feeling fantastic!,positive
You're the best!,positive
The stars are shining brightly.,positive
You're a wonderful person.,positive
Your positivity is contagious.,positive
I'm optimistic about the outcome.,positive
I couldn't agree more.,positive
I'm so fortunate to know you.,positive
This is a truly remarkable achievement.,positive
You're a shining example.,positive
I'm feeling so alive!,positive
You're amazing!,positive
The music is uplifting.,positive
You're a gift to the world.,positive
Your generosity is inspiring.,positive
I'm confident in your abilities.,positive
That's absolutely correct!,positive
I'm so lucky to have this.,positive
This is a truly extraordinary moment.,positive
You've overcome so much!,positive
I'm feeling on top of the world!,positive
You're a treasure.,positive
The scenery is stunning.,positive
You're a true friend.,positive
Your enthusiasm is infectious.,positive
I have great faith in this.,positive
That's precisely what I was thinking!,positive
I'm so grateful for your friendship.,positive
This is a truly magical experience.,positive
You've accomplished so much!,positive
